[*] 股票代码: hs_002076,  当前价为: 4.85, 最高价为: 6.75, 最低价为: 2.32
[*] 股票代码: hs_603993,  当前价为: 4.76, 最高价为: 9.72, 最低价为: 3.44
[*] 股票代码: hs_600031,  当前价为: 12.38, 最高价为: 12.55, 最低价为: 7.38
[*] 股票代码: hs_600418,  当前价为: 5.22, 最高价为: 9.23, 最低价为: 4.14
[*] 股票代码: hs_600466,  当前价为: 6.91, 最高价为: 9.52, 最低价为: 4.03
[*] 股票代码: hs_600321,  当前价为: 2.78, 最高价为: 4.28, 最低价为: 1.51
[*] 股票代码: hs_603366,  当前价为: 5.37, 最高价为: 6.66, 最低价为: 3.12
[*] 股票代码: hs_601058,  当前价为: 2.79, 最高价为: 3.52, 最低价为: 2.03
[*] 股票代码: hs_600756,  当前价为: 25.30, 最高价为: 33.88, 最低价为: 12.73
[*] 股票代码: hs_600638,  当前价为: 9.74, 最高价为: 13.27, 最低价为: 7.51
[*] 股票代码: hs_601857,  当前价为: 7.70, 最高价为: 9.43, 最低价为: 7.08
[*] 股票代码: hs_601155,  当前价为: 41.91, 最高价为: 44.96, 最低价为: 19.89
[*] 股票代码: hs_601101,  当前价为: 6.76, 最高价为: 9.21, 最低价为: 5.59
[*] 股票代码: hs_600866,  当前价为: 4.70, 最高价为: 5.23, 最低价为: 2.89
[*] 股票代码: hs_600325,  当前价为: 8.10, 最高价为: 9.47, 最低价为: 5.74
[*] 股票代码: hs_600355,  当前价为: 4.77, 最高价为: 8.80, 最低价为: 2.45
[*] 股票代码: hs_600362,  当前价为: 15.70, 最高价为: 22.67, 最低价为: 12.42
[*] 股票代码: hs_600830,  当前价为: 6.57, 最高价为: 9.27, 最低价为: 4.01
[*] 股票代码: hs_600706,  当前价为: 11.80, 最高价为: 19.00, 最低价为: 9.15
[*] 股票代码: hs_600312,  当前价为: 8.80, 最高价为: 10.29, 最低价为: 4.89
[*] 股票代码: hs_600898,  当前价为: 9.16, 最高价为: 13.63, 最低价为: 6.52
[*] 股票代码: hs_603127,  当前价为: 73.30, 最高价为: 75.40, 最低价为: 31.59
[*] 股票代码: hs_601628,  当前价为: 28.75, 最高价为: 33.00, 最低价为: 19.78
[*] 股票代码: hs_600271,  当前价为: 27.74, 最高价为: 31.94, 最低价为: 17.57
[*] 股票代码: hs_603586,  当前价为: 15.32, 最高价为: 24.38, 最低价为: 10.60
[*] 股票代码: hs_603609,  当前价为: 11.35, 最高价为: 13.34, 最低价为: 6.61
[*] 股票代码: hs_600462,  当前价为: 2.25, 最高价为: 6.56, 最低价为: 1.77
[*] 股票代码: hs_601872,  当前价为: 4.64, 最高价为: 4.92, 最低价为: 3.25
[*] 股票代码: hs_600491,  当前价为: 8.64, 最高价为: 10.96, 最低价为: 5.68
[*] 股票代码: hs_603042,  当前价为: 15.02, 最高价为: 31.04, 最低价为: 11.48
[*] 股票代码: hs_600371,  当前价为: 7.81, 最高价为: 12.38, 最低价为: 5.00
[*] 股票代码: hs_600508,  当前价为: 11.09, 最高价为: 13.36, 最低价为: 9.55
[*] 股票代码: hs_600195,  当前价为: 12.68, 最高价为: 16.77, 最低价为: 9.90
[*] 股票代码: hs_603611,  当前价为: 16.17, 最高价为: 18.34, 最低价为: 10.06
[*] 股票代码: hs_603367,  当前价为: 18.08, 最高价为: 32.24, 最低价为: 13.76
[*] 股票代码: hs_603227,  当前价为: 4.64, 最高价为: 6.11, 最低价为: 3.36
[*] 股票代码: hs_601718,  当前价为: 4.46, 最高价为: 6.49, 最低价为: 3.18
[*] 股票代码: hs_600794,  当前价为: 3.21, 最高价为: 5.10, 最低价为: 2.27
[*] 股票代码: hs_600558,  当前价为: 4.19, 最高价为: 6.11, 最低价为: 2.98
[*] 股票代码: hs_601968,  当前价为: 5.15, 最高价为: 5.85, 最低价为: 3.48
