"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="366751395484452541","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：1m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="279686157392149108","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","null","卖家已发货，等待买家确认","4208837"
="364999521977758983","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：2m;颜色分类：苹果ios金橙黄[【1m】提速70%]","null","null","交易成功","null"
="364916065257012474","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","卖家已发货，等待买家确认","32833478149"
="365049826151474675","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：1m;颜色分类：安卓micro钛空灰[【1m】提速50%]","null","null","交易成功","null"
="266988420895828698","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro金橙黄[【2m】提速70%]","null","null","交易成功","null"
="266988420895828698","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","交易成功","null"
="364435394236239782","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="267257382822988393","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","卖家已发货，等待买家确认","32789142913"
="279815023426114202","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="279815023426114202","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：安卓micro樱花粉[【2m】提速70%]","null","null","卖家已发货，等待买家确认","null"
="279557614551791812","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="363802976086742976","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：0.5m;颜色分类：苹果ios湖水绿[【1m】提速70%]","null","null","交易成功","null"
="364527203617923213","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：2m;颜色分类：苹果ios玫瑰金[【0.5m】提速50%]","null","null","交易成功","null"
="364513027599541827","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="266959396617581791","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：0.5m;颜色分类：安卓micro土豪金[【1m】提速50%]","null","null","交易成功","null"
="266959396617581791","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：0.5m;颜色分类：安卓micro玫瑰金[【1m】提速50%]","null","null","交易成功","null"
="362334049433039884","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易关闭","32789142913"
="362541379525219646","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","卖家已发货，等待买家确认","32789142913"
="357828546432266317","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","2","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="278445614882258108","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios金橙黄[【1m】提速70%]","null","null","交易成功","null"
="278445614882258108","美逸苹果6s六数据线iPhone7px8Plus安卓手机平板ipad2快充线2米短","25.00","1","null","长度：2m;颜色分类：苹果ios樱花粉[【1m】提速70%]","null","null","交易成功","null"
="356642976882121015","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","null","交易成功","4208837"
="357234211647240918","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="266156262470685490","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","null","交易成功","4208837"
="356938914104077315","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","包装好","交易成功","4208837"
="357136931194039884","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="356962851001611341","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","99.00","2","4208837","颜色分类：乳白色","null","null","交易成功","4208837"
="356375425156468119","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","1","4208837","颜色分类：乳白色[GT20原色]","null","null","交易成功","4208837"
="356508547767668869","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","99.00","2","4208837","颜色分类：乳白色[GT20原色]","null","null","交易成功","4208837"
="354339296297235750","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="354218432540802571","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","129.00","1","100001267323","颜色分类：白色","null","null","交易成功","100001267323"
="353153154872950358","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="351489056236054785","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="352137155947465172","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="265601927443077987","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="350636992895687040","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","129.00","1","100001267323","颜色分类：白色","null","null","交易成功","100001267323"
="276827052037427005","美逸大容量手机充电宝30000毫安聚合物电芯数显移动电源多USB口通","129.00","2","100001267323","颜色分类：白色","null","null","交易成功","100001267323"
="276880077839427005","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="276765389749469504","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="349716833818979834","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="276290860516068719","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","2","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="276193580949727524","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="275301005395068720","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","4","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="270547118175991425","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="336232769111534675","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="334667233931742976","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="334667233931742976","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","1","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="262849444163521794","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="325628832684829088","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","135.00","1","32833478149","颜色分类：黑色[GT20黑金刚]","null","null","交易成功","32833478149"
="325628832684829088","美逸20000毫安充电宝双向快充移动电源LED数显屏高通认证QC3.0/PD","109.00","4","32789142913","颜色分类：白色[GT20白骑士]","null","null","交易成功","32789142913"
="263792941761051912","美逸 20000M太阳能充电宝小巧快充超薄便携毫安蘋果手机通用移动","109.00","1","null","颜色分类：土豪金","null","null","交易成功","null"
="263792941761051912","美逸 20000M太阳能充电宝小巧快充超薄便携毫安蘋果手机通用移动","109.00","1","null","颜色分类：玫瑰金","null","null","交易成功","null"
