[*] 股票代码: hs_002076,  当前价为: 3.64, 最高价为: 4.66, 最低价为: 2.32
[*] 股票代码: hs_600321,  当前价为: 1.84, 最高价为: 2.13, 最低价为: 1.51
[*] 股票代码: hs_603366,  当前价为: 4.63, 最高价为: 5.54, 最低价为: 3.12
[*] 股票代码: hs_601058,  当前价为: 2.33, 最高价为: 2.80, 最低价为: 2.03
[*] 股票代码: hs_600756,  当前价为: 15.73, 最高价为: 18.83, 最低价为: 14.58
[*] 股票代码: hs_600638,  当前价为: 9.15, 最高价为: 10.65, 最低价为: 7.51
[*] 股票代码: hs_601857,  当前价为: 7.63, 最高价为: 9.34, 最低价为: 7.47
[*] 股票代码: hs_601155,  当前价为: 25.01, 最高价为: 28.66, 最低价为: 19.89
[*] 股票代码: hs_601101,  当前价为: 6.28, 最高价为: 7.40, 最低价为: 6.13
[*] 股票代码: hs_600866,  当前价为: 3.35, 最高价为: 3.92, 最低价为: 2.89
[*] 股票代码: hs_600325,  当前价为: 6.46, 最高价为: 7.19, 最低价为: 5.74
[*] 股票代码: hs_600355,  当前价为: 3.47, 最高价为: 4.65, 最低价为: 2.45
[*] 股票代码: hs_600362,  当前价为: 13.21, 最高价为: 14.67, 最低价为: 12.42
[*] 股票代码: hs_600830,  当前价为: 5.04, 最高价为: 5.79, 最低价为: 4.01
[*] 股票代码: hs_600706,  当前价为: 11.21, 最高价为: 12.79, 最低价为: 9.15
[*] 股票代码: hs_600312,  当前价为: 7.91, 最高价为: 8.53, 最低价为: 6.40
[*] 股票代码: hs_600898,  当前价为: 8.22, 最高价为: 10.47, 最低价为: 6.52
[*] 股票代码: hs_603127,  当前价为: 48.42, 最高价为: 54.33, 最低价为: 37.60
[*] 股票代码: hs_601628,  当前价为: 21.41, 最高价为: 23.85, 最低价为: 20.66
[*] 股票代码: hs_600271,  当前价为: 22.56, 最高价为: 28.87, 最低价为: 21.48
[*] 股票代码: hs_603586,  当前价为: 14.01, 最高价为: 15.49, 最低价为: 10.60
[*] 股票代码: hs_603609,  当前价为: 7.60, 最高价为: 8.48, 最低价为: 6.61
[*] 股票代码: hs_600462,  当前价为: 3.49, 最高价为: 4.87, 最低价为: 2.11
[*] 股票代码: hs_601872,  当前价为: 3.93, 最高价为: 4.37, 最低价为: 3.42
[*] 股票代码: hs_600491,  当前价为: 7.80, 最高价为: 8.17, 最低价为: 5.68
[*] 股票代码: hs_603042,  当前价为: 14.46, 最高价为: 16.62, 最低价为: 12.24
[*] 股票代码: hs_600371,  当前价为: 6.30, 最高价为: 7.48, 最低价为: 5.00
[*] 股票代码: hs_600508,  当前价为: 10.02, 最高价为: 11.16, 最低价为: 9.81
[*] 股票代码: hs_600195,  当前价为: 10.58, 最高价为: 12.54, 最低价为: 9.90
[*] 股票代码: hs_603611,  当前价为: 12.57, 最高价为: 13.96, 最低价为: 10.06
[*] 股票代码: hs_603367,  当前价为: 16.18, 最高价为: 19.39, 最低价为: 14.65
[*] 股票代码: hs_603227,  当前价为: 3.85, 最高价为: 4.26, 最低价为: 3.36
[*] 股票代码: hs_601718,  当前价为: 3.50, 最高价为: 3.87, 最低价为: 3.18
[*] 股票代码: hs_600794,  当前价为: 2.75, 最高价为: 3.30, 最低价为: 2.27
[*] 股票代码: hs_600558,  当前价为: 3.30, 最高价为: 4.09, 最低价为: 2.98
[*] 股票代码: hs_601968,  当前价为: 4.28, 最高价为: 4.51, 最低价为: 3.55
[*] 股票代码: hs_600590,  当前价为: 5.57, 最高价为: 6.77, 最低价为: 4.89
[*] 股票代码: hs_600028,  当前价为: 5.81, 最高价为: 7.14, 最低价为: 5.71
[*] 股票代码: hs_600578,  当前价为: 2.96, 最高价为: 3.27, 最低价为: 2.85
[*] 股票代码: hs_601898,  当前价为: 4.80, 最高价为: 5.45, 最低价为: 4.58
[*] 股票代码: hs_601005,  当前价为: 2.03, 最高价为: 2.12, 最低价为: 1.69
[*] 股票代码: hs_600026,  当前价为: 4.94, 最高价为: 5.62, 最低价为: 4.32
[*] 股票代码: hs_600288,  当前价为: 6.99, 最高价为: 8.30, 最低价为: 5.99
[*] 股票代码: hs_603679,  当前价为: 25.90, 最高价为: 28.05, 最低价为: 20.36
[*] 股票代码: hs_601068,  当前价为: 5.81, 最高价为: 10.28, 最低价为: 5.40
[*] 股票代码: hs_300724,  当前价为: 26.94, 最高价为: 30.60, 最低价为: 19.83
[*] 股票代码: hs_601886,  当前价为: 7.04, 最高价为: 7.66, 最低价为: 5.83
[*] 股票代码: hs_002502,  当前价为: 4.32, 最高价为: 7.24, 最低价为: 3.83
[*] 股票代码: hs_000565,  当前价为: 4.41, 最高价为: 5.01, 最低价为: 3.83
[*] 股票代码: hs_600702,  当前价为: 24.45, 最高价为: 28.67, 最低价为: 18.61
[*] 股票代码: hs_601898,  当前价为: 4.80, 最高价为: 5.45, 最低价为: 4.58
[*] 股票代码: hs_600761,  当前价为: 9.06, 最高价为: 10.33, 最低价为: 8.15
[*] 股票代码: hs_600333,  当前价为: 6.13, 最高价为: 7.30, 最低价为: 5.35
[*] 股票代码: hs_600236,  当前价为: 5.28, 最高价为: 6.15, 最低价为: 4.95
[*] 股票代码: hs_002857,  当前价为: 11.46, 最高价为: 15.90, 最低价为: 9.63
[*] 股票代码: hs_603979,  当前价为: 7.66, 最高价为: 8.78, 最低价为: 7.00
[*] 股票代码: hs_600282,  当前价为: 3.52, 最高价为: 4.22, 最低价为: 3.37
[*] 股票代码: hs_603363,  当前价为: 9.24, 最高价为: 12.35, 最低价为: 8.15
[*] 股票代码: hs_600057,  当前价为: 4.28, 最高价为: 5.24, 最低价为: 4.18
[*] 股票代码: hs_600970,  当前价为: 5.75, 最高价为: 6.40, 最低价为: 5.23
[*] 股票代码: hs_600782,  当前价为: 5.20, 最高价为: 6.18, 最低价为: 4.73
[*] 股票代码: hs_600456,  当前价为: 15.90, 最高价为: 16.77, 最低价为: 12.22
[*] 股票代码: hs_603871,  当前价为: 35.13, 最高价为: 40.60, 最低价为: 30.75
[*] 股票代码: hs_600487,  当前价为: 16.94, 最高价为: 24.26, 最低价为: 15.85
[*] 股票代码: hs_603338,  当前价为: 55.83, 最高价为: 60.01, 最低价为: 44.45
[*] 股票代码: hs_601336,  当前价为: 42.76, 最高价为: 51.55, 最低价为: 42.66
[*] 股票代码: hs_600126,  当前价为: 4.51, 最高价为: 4.89, 最低价为: 4.10
[*] 股票代码: hs_603192,  当前价为: 31.75, 最高价为: 46.92, 最低价为: 28.50
[*] 股票代码: hs_600618,  当前价为: 6.75, 最高价为: 7.63, 最低价为: 5.95
[*] 股票代码: hs_600711,  当前价为: 5.08, 最高价为: 7.23, 最低价为: 4.44
[*] 股票代码: hs_601633,  当前价为: 5.77, 最高价为: 8.12, 最低价为: 5.65
[*] 股票代码: hs_601608,  当前价为: 2.63, 最高价为: 2.89, 最低价为: 2.39
[*] 股票代码: hs_601011,  当前价为: 5.76, 最高价为: 6.75, 最低价为: 5.23
[*] 股票代码: hs_002471,  当前价为: 2.74, 最高价为: 3.37, 最低价为: 2.61
[*] 股票代码: hs_600880,  当前价为: 3.93, 最高价为: 4.72, 最低价为: 3.50
[*] 股票代码: hs_603108,  当前价为: 7.76, 最高价为: 10.07, 最低价为: 7.39
[*] 股票代码: hs_600496,  当前价为: 2.79, 最高价为: 3.08, 最低价为: 2.52
[*] 股票代码: hs_600623,  当前价为: 8.31, 最高价为: 9.58, 最低价为: 8.23
[*] 股票代码: hs_600129,  当前价为: 9.00, 最高价为: 12.58, 最低价为: 8.82
[*] 股票代码: hs_600505,  当前价为: 4.85, 最高价为: 5.62, 最低价为: 3.63
[*] 股票代码: hs_601992,  当前价为: 3.73, 最高价为: 3.98, 最低价为: 3.05
[*] 股票代码: hs_600507,  当前价为: 10.58, 最高价为: 11.92, 最低价为: 9.32
[*] 股票代码: hs_603388,  当前价为: 10.76, 最高价为: 12.35, 最低价为: 9.00
[*] 股票代码: hs_600083,  当前价为: 17.38, 最高价为: 19.99, 最低价为: 12.80
[*] 股票代码: hs_600178,  当前价为: 4.50, 最高价为: 4.99, 最低价为: 3.74
[*] 股票代码: hs_600580,  当前价为: 6.57, 最高价为: 7.84, 最低价为: 5.80
[*] 股票代码: hs_600559,  当前价为: 14.05, 最高价为: 18.58, 最低价为: 12.38
[*] 股票代码: hs_002503,  当前价为: 2.47, 最高价为: 3.13, 最低价为: 2.37
[*] 股票代码: hs_000782,  当前价为: 4.46, 最高价为: 5.90, 最低价为: 4.08
[*] 股票代码: hs_603869,  当前价为: 15.70, 最高价为: 18.35, 最低价为: 13.20
[*] 股票代码: hs_002723,  当前价为: 9.27, 最高价为: 10.75, 最低价为: 6.87
[*] 股票代码: hs_000691,  当前价为: 4.15, 最高价为: 6.24, 最低价为: 2.91
[*] 股票代码: hs_000587,  当前价为: 2.59, 最高价为: 3.39, 最低价为: 2.25
[*] 股票代码: hs_002662,  当前价为: 4.31, 最高价为: 4.55, 最低价为: 3.30
[*] 股票代码: hs_002143,  当前价为: 3.21, 最高价为: 4.35, 最低价为: 2.54
[*] 股票代码: hs_002131,  当前价为: 1.52, 最高价为: 1.90, 最低价为: 1.49
[*] 股票代码: hs_002684,  当前价为: 6.07, 最高价为: 7.88, 最低价为: 5.27
[*] 股票代码: hs_000415,  当前价为: 3.82, 最高价为: 4.33, 最低价为: 3.44
[*] 股票代码: hs_000750,  当前价为: 4.22, 最高价为: 5.30, 最低价为: 2.75
[*] 股票代码: hs_000673,  当前价为: 5.11, 最高价为: 7.52, 最低价为: 4.35
[*] 股票代码: hs_000004,  当前价为: 16.91, 最高价为: 18.50, 最低价为: 14.70
[*] 股票代码: hs_002587,  当前价为: 4.90, 最高价为: 5.47, 最低价为: 4.42
[*] 股票代码: hs_300078,  当前价为: 9.72, 最高价为: 10.86, 最低价为: 7.80
[*] 股票代码: hs_300300,  当前价为: 10.52, 最高价为: 13.38, 最低价为: 9.30
[*] 股票代码: hs_300025,  当前价为: 4.80, 最高价为: 5.50, 最低价为: 3.32
[*] 股票代码: hs_300520,  当前价为: 15.15, 最高价为: 18.81, 最低价为: 13.63
[*] 股票代码: hs_002114,  当前价为: 7.27, 最高价为: 8.78, 最低价为: 5.89
[*] 股票代码: hs_300514,  当前价为: 11.86, 最高价为: 16.82, 最低价为: 10.40
[*] 股票代码: hs_300297,  当前价为: 5.29, 最高价为: 7.10, 最低价为: 4.80
[*] 股票代码: hs_300366,  当前价为: 6.91, 最高价为: 8.08, 最低价为: 5.96
[*] 股票代码: hs_000981,  当前价为: 3.71, 最高价为: 8.15, 最低价为: 3.34
[*] 股票代码: hs_300312,  当前价为: 7.05, 最高价为: 9.78, 最低价为: 6.35
[*] 股票代码: hs_300536,  当前价为: 8.88, 最高价为: 10.26, 最低价为: 7.90
[*] 股票代码: hs_000063,  当前价为: 19.10, 最高价为: 21.88, 最低价为: 14.50
[*] 股票代码: hs_300268,  当前价为: 11.13, 最高价为: 12.86, 最低价为: 8.45
[*] 股票代码: hs_002721,  当前价为: 6.23, 最高价为: 7.49, 最低价为: 5.23
[*] 股票代码: hs_002121,  当前价为: 4.87, 最高价为: 6.02, 最低价为: 4.34
[*] 股票代码: hs_300687,  当前价为: 17.77, 最高价为: 22.36, 最低价为: 16.64
[*] 股票代码: hs_300018,  当前价为: 4.60, 最高价为: 6.67, 最低价为: 3.26
[*] 股票代码: hs_300152,  当前价为: 3.16, 最高价为: 3.48, 最低价为: 2.03

[!] ============================== 开始过滤 ==============================

[*] 股票代码: 002131, 离最低点差值: 0.03, 当前价格: 1.52, 最低价格: 1.49, 最高价格: 1.9
[*] 股票代码: 600803, 离最低点差值: 0.06, 当前价格: 10.25, 最低价格: 10.19, 最高价格: 15.4
[*] 股票代码: 600623, 离最低点差值: 0.08, 当前价格: 8.31, 最低价格: 8.23, 最高价格: 9.58
[*] 股票代码: 600028, 离最低点差值: 0.10, 当前价格: 5.81, 最低价格: 5.71, 最高价格: 7.14
[*] 股票代码: 002503, 离最低点差值: 0.10, 当前价格: 2.47, 最低价格: 2.37, 最高价格: 3.13
[*] 股票代码: 600057, 离最低点差值: 0.10, 当前价格: 4.28, 最低价格: 4.18, 最高价格: 5.24
[*] 股票代码: 601336, 离最低点差值: 0.10, 当前价格: 42.76, 最低价格: 42.66, 最高价格: 51.55
[*] 股票代码: 600578, 离最低点差值: 0.11, 当前价格: 2.96, 最低价格: 2.85, 最高价格: 3.27
[*] 股票代码: 601633, 离最低点差值: 0.12, 当前价格: 5.77, 最低价格: 5.65, 最高价格: 8.12
[*] 股票代码: 002471, 离最低点差值: 0.13, 当前价格: 2.74, 最低价格: 2.61, 最高价格: 3.37
[*] 股票代码: 600282, 离最低点差值: 0.15, 当前价格: 3.52, 最低价格: 3.37, 最高价格: 4.22
[*] 股票代码: 601101, 离最低点差值: 0.15, 当前价格: 6.28, 最低价格: 6.13, 最高价格: 7.4
[*] 股票代码: 601857, 离最低点差值: 0.16, 当前价格: 7.63, 最低价格: 7.47, 最高价格: 9.34
[*] 股票代码: 600129, 离最低点差值: 0.18, 当前价格: 9.0, 最低价格: 8.82, 最高价格: 12.58
[*] 股票代码: 600508, 离最低点差值: 0.21, 当前价格: 10.02, 最低价格: 9.81, 最高价格: 11.16
[*] 股票代码: 601898, 离最低点差值: 0.22, 当前价格: 4.8, 最低价格: 4.58, 最高价格: 5.45
[*] 股票代码: 601898, 离最低点差值: 0.22, 当前价格: 4.8, 最低价格: 4.58, 最高价格: 5.45
[*] 股票代码: 601608, 离最低点差值: 0.24, 当前价格: 2.63, 最低价格: 2.39, 最高价格: 2.89
[*] 股票代码: 600496, 离最低点差值: 0.27, 当前价格: 2.79, 最低价格: 2.52, 最高价格: 3.08
[*] 股票代码: 601058, 离最低点差值: 0.30, 当前价格: 2.33, 最低价格: 2.03, 最高价格: 2.8
[*] 股票代码: 002501, 离最低点差值: 0.31, 当前价格: 3.11, 最低价格: 2.8, 最高价格: 4.06
[*] 股票代码: 601718, 离最低点差值: 0.32, 当前价格: 3.5, 最低价格: 3.18, 最高价格: 3.87
[*] 股票代码: 600558, 离最低点差值: 0.32, 当前价格: 3.3, 最低价格: 2.98, 最高价格: 4.09
[*] 股票代码: 600321, 离最低点差值: 0.33, 当前价格: 1.84, 最低价格: 1.51, 最高价格: 2.13
[*] 股票代码: 600236, 离最低点差值: 0.33, 当前价格: 5.28, 最低价格: 4.95, 最高价格: 6.15
[*] 股票代码: 601005, 离最低点差值: 0.34, 当前价格: 2.03, 最低价格: 1.69, 最高价格: 2.12
[*] 股票代码: 000587, 离最低点差值: 0.34, 当前价格: 2.59, 最低价格: 2.25, 最高价格: 3.39
[*] 股票代码: 603108, 离最低点差值: 0.37, 当前价格: 7.76, 最低价格: 7.39, 最高价格: 10.07
[*] 股票代码: 000981, 离最低点差值: 0.37, 当前价格: 3.71, 最低价格: 3.34, 最高价格: 8.15
[*] 股票代码: 000782, 离最低点差值: 0.38, 当前价格: 4.46, 最低价格: 4.08, 最高价格: 5.9
[*] 股票代码: 000415, 离最低点差值: 0.38, 当前价格: 3.82, 最低价格: 3.44, 最高价格: 4.33
[*] 股票代码: 601068, 离最低点差值: 0.41, 当前价格: 5.81, 最低价格: 5.4, 最高价格: 10.28
[*] 股票代码: 600126, 离最低点差值: 0.41, 当前价格: 4.51, 最低价格: 4.1, 最高价格: 4.89
[*] 股票代码: 600651, 离最低点差值: 0.43, 当前价格: 3.4, 最低价格: 2.97, 最高价格: 4.18
[*] 股票代码: 600880, 离最低点差值: 0.43, 当前价格: 3.93, 最低价格: 3.5, 最高价格: 4.72
[*] 股票代码: 603188, 离最低点差值: 0.45, 当前价格: 7.71, 最低价格: 7.26, 最高价格: 10.1
[*] 股票代码: 600866, 离最低点差值: 0.46, 当前价格: 3.35, 最低价格: 2.89, 最高价格: 3.92
[*] 股票代码: 600782, 离最低点差值: 0.47, 当前价格: 5.2, 最低价格: 4.73, 最高价格: 6.18
[*] 股票代码: 600794, 离最低点差值: 0.48, 当前价格: 2.75, 最低价格: 2.27, 最高价格: 3.3
[*] 股票代码: 002587, 离最低点差值: 0.48, 当前价格: 4.9, 最低价格: 4.42, 最高价格: 5.47
[*] 股票代码: 603227, 离最低点差值: 0.49, 当前价格: 3.85, 最低价格: 3.36, 最高价格: 4.26
[*] 股票代码: 002502, 离最低点差值: 0.49, 当前价格: 4.32, 最低价格: 3.83, 最高价格: 7.24
[*] 股票代码: 002910, 离最低点差值: 0.50, 当前价格: 12.66, 最低价格: 12.16, 最高价格: 16.83
[*] 股票代码: 601872, 离最低点差值: 0.51, 当前价格: 3.93, 最低价格: 3.42, 最高价格: 4.37
[*] 股票代码: 600970, 离最低点差值: 0.52, 当前价格: 5.75, 最低价格: 5.23, 最高价格: 6.4
[*] 股票代码: 601011, 离最低点差值: 0.53, 当前价格: 5.76, 最低价格: 5.23, 最高价格: 6.75
[*] 股票代码: 002121, 离最低点差值: 0.53, 当前价格: 4.87, 最低价格: 4.34, 最高价格: 6.02
[*] 股票代码: 002604, 离最低点差值: 0.57, 当前价格: 1.96, 最低价格: 1.39, 最高价格: 2.23
[*] 股票代码: 000565, 离最低点差值: 0.58, 当前价格: 4.41, 最低价格: 3.83, 最高价格: 5.01
[*] 股票代码: 600516, 离最低点差值: 0.58, 当前价格: 18.19, 最低价格: 17.61, 最高价格: 22.83
[*] 股票代码: 600026, 离最低点差值: 0.62, 当前价格: 4.94, 最低价格: 4.32, 最高价格: 5.62
[*] 股票代码: 600711, 离最低点差值: 0.64, 当前价格: 5.08, 最低价格: 4.44, 最高价格: 7.23
[*] 股票代码: 600526, 离最低点差值: 0.65, 当前价格: 4.69, 最低价格: 4.04, 最高价格: 5.58
[*] 股票代码: 603979, 离最低点差值: 0.66, 当前价格: 7.66, 最低价格: 7.0, 最高价格: 8.78
[*] 股票代码: 002143, 离最低点差值: 0.67, 当前价格: 3.21, 最低价格: 2.54, 最高价格: 4.35
[*] 股票代码: 600195, 离最低点差值: 0.68, 当前价格: 10.58, 最低价格: 9.9, 最高价格: 12.54
[*] 股票代码: 601992, 离最低点差值: 0.68, 当前价格: 3.73, 最低价格: 3.05, 最高价格: 3.98
[*] 股票代码: 600590, 离最低点差值: 0.68, 当前价格: 5.57, 最低价格: 4.89, 最高价格: 6.77
[*] 股票代码: 601069, 离最低点差值: 0.70, 当前价格: 15.43, 最低价格: 14.73, 最高价格: 17.29
[*] 股票代码: 601088, 离最低点差值: 0.71, 当前价格: 19.08, 最低价格: 18.37, 最高价格: 21.17
[*] 股票代码: 603993, 离最低点差值: 0.71, 当前价格: 4.15, 最低价格: 3.44, 最高价格: 4.72
[*] 股票代码: 600325, 离最低点差值: 0.72, 当前价格: 6.46, 最低价格: 5.74, 最高价格: 7.19
[*] 股票代码: 002433, 离最低点差值: 0.73, 当前价格: 4.79, 最低价格: 4.06, 最高价格: 5.67
[*] 股票代码: 601968, 离最低点差值: 0.73, 当前价格: 4.28, 最低价格: 3.55, 最高价格: 4.51
[*] 股票代码: 601628, 离最低点差值: 0.75, 当前价格: 21.41, 最低价格: 20.66, 最高价格: 23.85
[*] 股票代码: 600178, 离最低点差值: 0.76, 当前价格: 4.5, 最低价格: 3.74, 最高价格: 4.99
[*] 股票代码: 000673, 离最低点差值: 0.76, 当前价格: 5.11, 最低价格: 4.35, 最高价格: 7.52
[*] 股票代码: 600580, 离最低点差值: 0.77, 当前价格: 6.57, 最低价格: 5.8, 最高价格: 7.84
[*] 股票代码: 600418, 离最低点差值: 0.78, 当前价格: 4.92, 最低价格: 4.14, 最高价格: 5.64
[*] 股票代码: 600333, 离最低点差值: 0.78, 当前价格: 6.13, 最低价格: 5.35, 最高价格: 7.3
[*] 股票代码: 600362, 离最低点差值: 0.79, 当前价格: 13.21, 最低价格: 12.42, 最高价格: 14.67
[*] 股票代码: 600618, 离最低点差值: 0.80, 当前价格: 6.75, 最低价格: 5.95, 最高价格: 7.63
[*] 股票代码: 002684, 离最低点差值: 0.80, 当前价格: 6.07, 最低价格: 5.27, 最高价格: 7.88
[*] 股票代码: 601038, 离最低点差值: 0.88, 当前价格: 4.99, 最低价格: 4.11, 最高价格: 6.03
[*] 股票代码: 600761, 离最低点差值: 0.91, 当前价格: 9.06, 最低价格: 8.15, 最高价格: 10.33
[*] 股票代码: 603609, 离最低点差值: 0.99, 当前价格: 7.6, 最低价格: 6.61, 最高价格: 8.48
[*] 股票代码: 600288, 离最低点差值: 1.00, 当前价格: 6.99, 最低价格: 5.99, 最高价格: 8.3
[*] 股票代码: 002721, 离最低点差值: 1.00, 当前价格: 6.23, 最低价格: 5.23, 最高价格: 7.49
[*] 股票代码: 002662, 离最低点差值: 1.01, 当前价格: 4.31, 最低价格: 3.3, 最高价格: 4.55
[*] 股票代码: 600355, 离最低点差值: 1.02, 当前价格: 3.47, 最低价格: 2.45, 最高价格: 4.65
[*] 股票代码: 600830, 离最低点差值: 1.03, 当前价格: 5.04, 最低价格: 4.01, 最高价格: 5.79
[*] 股票代码: 600271, 离最低点差值: 1.08, 当前价格: 22.56, 最低价格: 21.48, 最高价格: 28.87
[*] 股票代码: 603996, 离最低点差值: 1.08, 当前价格: 7.8, 最低价格: 6.72, 最高价格: 10.3
[*] 股票代码: 603363, 离最低点差值: 1.09, 当前价格: 9.24, 最低价格: 8.15, 最高价格: 12.35
[*] 股票代码: 600487, 离最低点差值: 1.09, 当前价格: 16.94, 最低价格: 15.85, 最高价格: 24.26
[*] 股票代码: 600031, 离最低点差值: 1.14, 当前价格: 8.6, 最低价格: 7.46, 最高价格: 9.01
[*] 股票代码: 600756, 离最低点差值: 1.15, 当前价格: 15.73, 最低价格: 14.58, 最高价格: 18.83
[*] 股票代码: 601886, 离最低点差值: 1.21, 当前价格: 7.04, 最低价格: 5.83, 最高价格: 7.66
[*] 股票代码: 600505, 离最低点差值: 1.22, 当前价格: 4.85, 最低价格: 3.63, 最高价格: 5.62
[*] 股票代码: 000691, 离最低点差值: 1.24, 当前价格: 4.15, 最低价格: 2.91, 最高价格: 6.24
[*] 股票代码: 600507, 离最低点差值: 1.26, 当前价格: 10.58, 最低价格: 9.32, 最高价格: 11.92
[*] 股票代码: 600371, 离最低点差值: 1.30, 当前价格: 6.3, 最低价格: 5.0, 最高价格: 7.48
[*] 股票代码: 600352, 离最低点差值: 1.32, 当前价格: 9.28, 最低价格: 7.96, 最高价格: 9.82
[*] 股票代码: 002076, 离最低点差值: 1.32, 当前价格: 3.64, 最低价格: 2.32, 最高价格: 4.66
[*] 股票代码: 002114, 离最低点差值: 1.38, 当前价格: 7.27, 最低价格: 5.89, 最高价格: 8.78
[*] 股票代码: 600462, 离最低点差值: 1.38, 当前价格: 3.49, 最低价格: 2.11, 最高价格: 4.87
[*] 股票代码: 000750, 离最低点差值: 1.47, 当前价格: 4.22, 最低价格: 2.75, 最高价格: 5.3
[*] 股票代码: 600466, 离最低点差值: 1.50, 当前价格: 5.53, 最低价格: 4.03, 最高价格: 5.95
[*] 股票代码: 603366, 离最低点差值: 1.51, 当前价格: 4.63, 最低价格: 3.12, 最高价格: 5.54
[*] 股票代码: 603366, 离最低点差值: 1.51, 当前价格: 4.63, 最低价格: 3.12, 最高价格: 5.54
[*] 股票代码: 600312, 离最低点差值: 1.51, 当前价格: 7.91, 最低价格: 6.4, 最高价格: 8.53
[*] 股票代码: 603367, 离最低点差值: 1.53, 当前价格: 16.18, 最低价格: 14.65, 最高价格: 19.39
[*] 股票代码: 600638, 离最低点差值: 1.64, 当前价格: 9.15, 最低价格: 7.51, 最高价格: 10.65
[*] 股票代码: 000766, 离最低点差值: 1.65, 当前价格: 8.8, 最低价格: 7.15, 最高价格: 9.3
[*] 股票代码: 600559, 离最低点差值: 1.67, 当前价格: 14.05, 最低价格: 12.38, 最高价格: 18.58
[*] 股票代码: 600898, 离最低点差值: 1.70, 当前价格: 8.22, 最低价格: 6.52, 最高价格: 10.47
[*] 股票代码: 603388, 离最低点差值: 1.76, 当前价格: 10.76, 最低价格: 9.0, 最高价格: 12.35
[*] 股票代码: 002857, 离最低点差值: 1.83, 当前价格: 11.46, 最低价格: 9.63, 最高价格: 15.9
[*] 股票代码: 600259, 离最低点差值: 1.84, 当前价格: 23.24, 最低价格: 21.4, 最高价格: 28.4
[*] 股票代码: 600706, 离最低点差值: 2.06, 当前价格: 11.21, 最低价格: 9.15, 最高价格: 12.79
[*] 股票代码: 600491, 离最低点差值: 2.12, 当前价格: 7.8, 最低价格: 5.68, 最高价格: 8.17
[*] 股票代码: 000004, 离最低点差值: 2.21, 当前价格: 16.91, 最低价格: 14.7, 最高价格: 18.5
[*] 股票代码: 603042, 离最低点差值: 2.22, 当前价格: 14.46, 最低价格: 12.24, 最高价格: 16.62
[*] 股票代码: 000712, 离最低点差值: 2.27, 当前价格: 9.49, 最低价格: 7.22, 最高价格: 11.79
